scientific_name,taxonomy,class,order,family,genus
"Ferussacia folliculum (Schröter, 1784)","Well-defined species. The spelling of the species name is still unsettled and confusing. It is not the place here to discuss this nomenclatural issue in detail. Yet, assuming that Schröter's (1784) book complies with the requirements imposed by the ICZN (e.g. application of binomial nomenclature), we follow Welter-Schultes (2012) and Bank (2016) by using “Ferussacia folliculum (Schröter, 1784)”, even if the more recent checklists of Bank & Neubert (2017) and the Fauna Europaea on-line database (https://fauna-eu.org/cdm_dataportal/taxon/8cccd942-28c8-4677-8403-95e990353f0c; accessed on 7 August 2018) cite this species as “Ferussacia folliculus (Schröter, 1784)” and “Ferussacia folliculus (Gmelin, 1791)” respectively. Yet, the on-line version of Bank & Neubert (2017) at MolluscaBase cite “Ferussacia folliculum (Schröter, 1784)” as accepted name, but with the same spelling as “accepted, alternate representation” (http://www.molluscabase.org/aphia.php?p=taxdetails&id=580515; accessed on 8 August 2018).","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Ferussaciidae Bourguignat, 1883","Ferussacia Risso, 1826"
"Gittenbergia sororcula (Benoit, 1859)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Valloniidae Morse, 1864","Gittenbergia Giusti, Castagnolo & Manganelli, 1985"
"Granaria frumentum (Draparnaud, 1801)","A species with several subspecies whose taxonomic interpretation is not entirely clear. The Belgian material is supposed to belong to the subspecies illyrica Rossmässler, 1835, which sometimes is considered as separate species (Falkner et al. 2002).","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Chondrinidae Steenberg, 1925","Granaria Held, 1838"
"Hawaiia minuscula (Binney, 1841)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Pristilomatidae T. Cockerell, 1891","Hawaiia Gude, 1911"
"Hygromia cinctella (Draparnaud, 1801)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Hygromia Risso, 1826"
"Massylaea vermiculata (O.F. Müller, 1774)","Well-defined species. Until recently the species was known as Eobania vermiculata, but Bouaziz-Yahiatene et al. (2017) have shown that Eobania P. Hesse, 1913 is a junior synonym of Massylaea Möllendorff, 1898.","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Helicidae Rafinesque, 1815","Massylaea Möllendorff, 1898"
"Paralaoma servilis (Shuttleworth, 1852)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Punctidae Morse, 1864","Paralaoma Iredale, 1913"
"Subulina striatella (Rang, 1831)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Subulina Beck, 1837"
"Tandonia budapestensis (Hazay, 1880)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Milacidae Ellis, 1926","Tandonia Lessona & Pollonera, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)",Well-defined species. In Belgium it has often been confused with Tandonia budapestensis.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Milacidae Ellis, 1927","Tandonia Lessona & Pollonera, 1883"
"Testacella haliotidea Draparnaud, 1801",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Testacellidae Gray, 1840","Testacella Lamarck, 1801"
"Theba pisana (O.F. Müller, 1774)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Helicidae Rafinesque, 1815","Theba Risso, 1826"
"Trochoidea elegans (Gmelin, 1791)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Trochoidea T. Brown, 1827"
"Xerosecta cespitum (Draparnaud, 1801)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Xerosecta Monterosato, 1892"
"Zebrina detrita (O.F. Müller, 1774)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Enidae B.B. Woodward, 1903","Zebrina Held, 1838"
"Zonitoides arboreus (Say, 1817)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Gastrodontidae Tryon, 1866","Zonitoides Lehmann, 1862"
