taxonID hash,scientific name,common name,dutch name,french name,german name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,[OLD] degree of establishment [WILL BE DELETED],degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
15cecbd918aaca69abacd3ea6743b250,"Gittenbergia sororcula (Benoit, 1859)",,,Escargotin montagnard,,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Valloniidae Morse, 1864","Gittenbergia Giusti, Castagnolo & Manganelli, 1985",species,ICZN,Belgium,BE,doubtful,introduced,B2,cultivated,Contaminant: Contaminant on plants,contaminantOnPlants,,,,2002,2002,,,northern part of the Iberian Peninsula | southern France | Italian Peninsula | Sicily | western Balkan | Greece | Crete,TRUE,FALSE,FALSE,,,,,,
d12eaa6884b549d249857519fca4a376,"Granaria frumentum (Draparnaud, 1801)",,,Maillot d'Italie | Maillot froment,,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Chondrinidae Steenberg, 1925","Granaria Held, 1838",species,ICZN,Belgium,BE,doubtful,introduced,C0,failing,,,,,,1924,,,,southeastern Europe | central Europe | Balkan,TRUE,FALSE,FALSE,,,,,,
d3ea1d539ec9fcf46383a2b1d9886e54,"Hawaiia minuscula (Binney, 1841)",Minute gem,,,Falsche Scheibchenschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Pristilomatidae T. Cockerell, 1891","Hawaiia Gude, 1911",species,ICZN,Belgium,BE,present,introduced,B2,cultivated,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,2003,,,,North America,TRUE,FALSE,FALSE,,,,,,
f495dc25a44c6c3a0a310e23e15f71d5,"Hygromia cinctella (Draparnaud, 1801)",Girdled snail,Gekielde loofslak,Hélice carénée,Kantige Laubschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Hygromia Risso, 1826",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Stowaway | Unaided | Contaminant: Contaminant on plants,otherTransport,naturalDispersal,contaminantOnPlants,,1994,,,,southeastern France | Italy | Slovenia | northwestern Croatia,TRUE,FALSE,FALSE,,,,,,
1960a04b83f2f90a2de8f9c955575049,"Massylaea vermiculata (O.F. Müller, 1774)",Chocolate-band snail,Pastaslak,Escargot mourguéta,Nudelschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Helicidae Rafinesque, 1815","Massylaea Möllendorff, 1898",species,ICZN,Belgium,BE,present,introduced,C3,established,Stowaway: Container | Stowaway: Hitchhikers on ship | Escape : Pet | Escape: Research and ex-situ breeding,containerBulk,hitchhikersShip,pet,research,2014,,,,western circum-Mediterranean,TRUE,FALSE,FALSE,,,,,,
4f18c8c544a69fbb5d3b351aee6bd8c8,"Paralaoma servilis (Shuttleworth, 1852)",Pinhead spot,Duintolletje,Escargotin cosmopolite,Gerippte Punktschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Punctidae Morse, 1864","Paralaoma Iredale, 1913",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,2014,,,,New Zealand | Australia,TRUE,FALSE,FALSE,,,,,,
2318917247314d7cb642d294b393df34,"Striosubulina striatella (Rang, 1831)",,,,,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Striosubulina Thiele, 1933",species,ICZN,Belgium,BE,present,introduced,B2,cultivated,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,2013,,,,tropical western Africa,TRUE,FALSE,FALSE,,,,,,
975a02ad362135b36d24c691aa7a83d9,"Tandonia budapestensis (Hazay, 1880)",Budapest slug | Budapest keeled slug,Slanke kielnaaktslak,Pseudolimace hongroise | Limace souterraine,Boden-Kielschnegel,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Milacidae Ellis, 1926","Tandonia Lessona & Pollonera, 1882",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,1941,,,,Carpathians | southern Alps | southeastern Alps | northern Balkan,TRUE,FALSE,FALSE,,,,,,
b58a4fbf2481e23e725bc4100b953cc8,"Tandonia sowerbyi (A. Férussac, 1823)",Keeled slug,Gele kielnaaktslak,Pseudolimace atlantique,Gelblicher Kielschnegel,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Milacidae Ellis, 1926","Tandonia Lessona & Pollonera, 1882",species,ICZN,Belgium,BE,doubtful,introduced,B3,released,,,,,,2014,,,,unclear,TRUE,FALSE,FALSE,,,,,,
f2ef505870d28353c0af74488e4f63d3,"Testacella haliotidea Draparnaud, 1801",Common shelled slug,(Gewone) Schildslak,Testacelle commune | Earshell slug | Shelled slug,Graugelbe Rucksackschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Testacellidae Gray, 1840","Testacella Lamarck, 1801",species,ICZN,Belgium,BE,present,introduced,C0,failing,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,1860,,,,southern Europe | western Mediterranean,TRUE,FALSE,FALSE,,,,,,
06528ea561737233003ecad5dab869a5,"Theba pisana (O.F. Müller, 1774)",White snail | White garden snail | Sandhill snail,Zandslak,Caragouille rosée | Escargot des dunes,Dünenschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Helicidae Rafinesque, 1815","Theba Risso, 1826",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Release: Other intentional use | Unaided,otherIntentionalRelease,naturalDispersal,,,1934,,,,nortwestern Africa | circum western Mediterranean coastal areas,TRUE,FALSE,FALSE,,,,,,
f69a72778a63eaf4bc975b7683fc8cab,"Trochoidea elegans (Gmelin, 1791)",Top snail | elegant helicellid,Sierlijke pyramideslak,Troque élégante,Gekielte Heideschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Trochoidea T. Brown, 1827",species,ICZN,Belgium,BE,doubtful,introduced,C0,failing,,,,,,1976,1976,,,southern France | Spain | northwestern Italy | Corsica | Sardinia | Balearic Islands | Tunisia | Algeria | Morocco,TRUE,FALSE,FALSE,,,,,,
efc32aa8cb6f49901941f3c96ec75e78,"Xerosecta cespitum (Draparnaud, 1801)",,Grote Duinslak,Grande caragouille,Große Heideschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Xerosecta Monterosato, 1892",species,ICZN,Belgium,BE,doubtful,introduced,C3,established,Stowaway,otherTransport,,,,1941,1983,,,southern France,TRUE,FALSE,FALSE,,,,,,
691d816e96b0f17eb16385bf9ecf03ad,"Zebrina detrita (O.F. Müller, 1774)",,,Bulime zébré,Märzenschnecke | Zebraschnecke | Weiße Turmschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Enidae B.B. Woodward, 1903","Zebrina Held, 1838",species,ICZN,Belgium,BE,absent,introduced,C0,failing,,,,,,1864,1864,,,southern Europe | central Europe | southeastern Europe | central Turkey,TRUE,FALSE,FALSE,,,,,,
6d29214a267467f07437d66a1cdfbcc3,"Zonitoides arboreus (Say, 1817)",Quick gloss snail,Bos-glimslak,,german: Gewächshaus-Dolchschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Gastrodontidae Tryon, 1866","Zonitoides Lehmann, 1862",species,ICZN,Belgium,BE,present,introduced,B2,cultivated,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,2003,,,,North America,TRUE,FALSE,FALSE,,,,,,
